Company,"Cocoa
Percent",Rating,,
Vivra,70%,2.5,,
Vivra,70%,2.5,,
Vivra,70%,3,,
Wellington Chocolate Factory,70%,3.5,,
Wellington Chocolate Factory,70%,3.5,,
Whittakers,72%,2.5,,
Wilkie's Organic,75%,2.5,,
Wilkie's Organic,89%,2.75,,
Wilkie's Organic,75%,3.25,,
Wilkie's Organic,75%,2.75,,
Willie's Cacao,70%,4,,
Willie's Cacao,88%,3,,
Willie's Cacao,100%,2.25,,
Willie's Cacao,71%,3,,
Willie's Cacao,72%,3.5,,
Willie's Cacao,69%,3.75,,
Willie's Cacao,70%,3,,
Willie's Cacao,72%,3.25,,
Wm,74%,3,,
Wm,76%,3.5,,
Wm,75%,3.75,,
Woodblock,70%,3,,
Woodblock,70%,3.25,,
Woodblock,70%,3.5,,
Woodblock,70%,2.5,,
Woodblock,70%,3,,
Woodblock,70%,3.25,,
Woodblock,70%,4,,
Woodblock,70%,3.5,,
Xocolat,66%,3,,
Xocolla,70%,2.75,,
Xocolla,70%,2.5,,
Zak's,70%,3,,
Zak's,70%,3.25,,
Zak's,70%,3.25,,
Zak's,70%,3.25,,
Zak's,70%,3.5,,
Zak's,60%,3,,
Zart Pralinen,70%,3.5,,
Zart Pralinen,70%,2.75,,
Zart Pralinen,85%,2.75,,
Zart Pralinen,85%,3,,
Zart Pralinen,70%,3.5,,
Zart Pralinen,78%,3.5,,
Zokoko,78%,3.75,,
Zokoko,65%,3.25,,
Zokoko,68%,3.5,,
Zokoko,66%,3.5,,
Zokoko,72%,3.75,,
Zotter,80%,2.75,,
Zotter,72%,3.5,,
Zotter,65%,3.5,,
Zotter,70%,3,,
Zotter,70%,3.5,,
Zotter,62%,3.75,,
Zotter,75%,3,,
Zotter,75%,3,,
Zotter,90%,3.25,,
Zotter,70%,3.75,,
Zotter,68%,3.25,,
Zotter,58%,3.5,,
Zotter,70%,3.75,,
Zotter,65%,3,,
Zotter,65%,3.5,,
Zotter,62%,3.25,,
Zotter,65%,3,,
